,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing
522,Afghanistan,,2020-08-24,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
523,Afghanistan,,2020-08-25,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0
524,Afghanistan,,2020-08-26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
525,Afghanistan,,2020-08-27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
526,Afghanistan,,2020-08-28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
527,Afghanistan,,2020-08-29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
528,Afghanistan,,2020-08-30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
529,Afghanistan,,2020-08-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
530,Afghanistan,,2020-09-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
531,Afghanistan,,2020-09-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
532,Afghanistan,,2020-09-03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
533,Afghanistan,,2020-09-04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0
534,Afghanistan,,2020-09-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
535,Afghanistan,,2020-09-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
536,Afghanistan,,2020-09-07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
537,Afghanistan,,2020-09-08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
538,Afghanistan,,2020-09-09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
539,Afghanistan,,2020-09-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
540,Afghanistan,,2020-09-11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
541,Afghanistan,,2020-09-12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0
800,Angola,,2020-08-16,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
801,Angola,,2020-08-17,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
802,Angola,,2020-08-18,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
803,Angola,,2020-08-19,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
804,Angola,,2020-08-20,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
805,Angola,,2020-08-21,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
806,Angola,,2020-08-22,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
807,Angola,,2020-08-23,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
808,Angola,,2020-08-24,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
809,Angola,,2020-08-25,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
810,Angola,,2020-08-26,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
811,Angola,,2020-08-27,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
812,Angola,,2020-08-28,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
813,Angola,,2020-08-29,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
814,Angola,,2020-08-30,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
815,Angola,,2020-08-31,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
816,Angola,,2020-09-01,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
817,Angola,,2020-09-02,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
818,Angola,,2020-09-03,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
819,Angola,,2020-09-04,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
820,Angola,,2020-09-05,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
821,Angola,,2020-09-06,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
822,Angola,,2020-09-07,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
823,Angola,,2020-09-08,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
824,Angola,,2020-09-09,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
825,Angola,,2020-09-10,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
826,Angola,,2020-09-11,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
827,Angola,,2020-09-12,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0
1086,Anguilla,,2020-08-16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1087,Anguilla,,2020-08-17,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1088,Anguilla,,2020-08-18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1089,Anguilla,,2020-08-19,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1090,Anguilla,,2020-08-20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1091,Anguilla,,2020-08-21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1092,Anguilla,,2020-08-22,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1093,Anguilla,,2020-08-23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1094,Anguilla,,2020-08-24,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1095,Anguilla,,2020-08-25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1096,Anguilla,,2020-08-26,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1097,Anguilla,,2020-08-27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1098,Anguilla,,2020-08-28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1099,Anguilla,,2020-08-29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1100,Anguilla,,2020-08-30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1101,Anguilla,,2020-08-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1102,Anguilla,,2020-09-01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1103,Anguilla,,2020-09-02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1104,Anguilla,,2020-09-03,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1105,Anguilla,,2020-09-04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1106,Anguilla,,2020-09-05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1107,Anguilla,,2020-09-06,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1108,Anguilla,,2020-09-07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1109,Anguilla,,2020-09-08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1110,Anguilla,,2020-09-09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1111,Anguilla,,2020-09-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1112,Anguilla,,2020-09-11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1113,Anguilla,,2020-09-12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
1372,Albania,,2020-08-16,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1373,Albania,,2020-08-17,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1374,Albania,,2020-08-18,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1375,Albania,,2020-08-19,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1376,Albania,,2020-08-20,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1377,Albania,,2020-08-21,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1378,Albania,,2020-08-22,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1379,Albania,,2020-08-23,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1380,Albania,,2020-08-24,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1381,Albania,,2020-08-25,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1382,Albania,,2020-08-26,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1383,Albania,,2020-08-27,2.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0
1384,Albania,,2020-08-28,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1385,Albania,,2020-08-29,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1386,Albania,,2020-08-30,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1387,Albania,,2020-08-31,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1388,Albania,,2020-09-01,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1389,Albania,,2020-09-02,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1390,Albania,,2020-09-03,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1391,Albania,,2020-09-04,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1392,Albania,,2020-09-05,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1393,Albania,,2020-09-06,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0
1394,Albania,,2020-09-07,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
1395,Albania,,2020-09-08,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
1396,Albania,,2020-09-09,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
1397,Albania,,2020-09-10,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
1398,Albania,,2020-09-11,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
1399,Albania,,2020-09-12,3.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0
1658,Andorra,,2020-08-16,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1659,Andorra,,2020-08-17,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1660,Andorra,,2020-08-18,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1661,Andorra,,2020-08-19,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1662,Andorra,,2020-08-20,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1663,Andorra,,2020-08-21,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1664,Andorra,,2020-08-22,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1665,Andorra,,2020-08-23,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1666,Andorra,,2020-08-24,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1667,Andorra,,2020-08-25,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1668,Andorra,,2020-08-26,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1669,Andorra,,2020-08-27,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1670,Andorra,,2020-08-28,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1671,Andorra,,2020-08-29,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1672,Andorra,,2020-08-30,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1673,Andorra,,2020-08-31,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1674,Andorra,,2020-09-01,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1675,Andorra,,2020-09-02,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1676,Andorra,,2020-09-03,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1677,Andorra,,2020-09-04,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1678,Andorra,,2020-09-05,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1679,Andorra,,2020-09-06,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1680,Andorra,,2020-09-07,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1681,Andorra,,2020-09-08,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1682,Andorra,,2020-09-09,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1683,Andorra,,2020-09-10,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1684,Andorra,,2020-09-11,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1685,Andorra,,2020-09-12,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0
1944,United Arab Emirates,,2020-08-16,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1945,United Arab Emirates,,2020-08-17,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1946,United Arab Emirates,,2020-08-18,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1947,United Arab Emirates,,2020-08-19,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1948,United Arab Emirates,,2020-08-20,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1949,United Arab Emirates,,2020-08-21,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1950,United Arab Emirates,,2020-08-22,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1951,United Arab Emirates,,2020-08-23,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1952,United Arab Emirates,,2020-08-24,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1953,United Arab Emirates,,2020-08-25,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1954,United Arab Emirates,,2020-08-26,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1955,United Arab Emirates,,2020-08-27,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1956,United Arab Emirates,,2020-08-28,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1957,United Arab Emirates,,2020-08-29,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1958,United Arab Emirates,,2020-08-30,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1959,United Arab Emirates,,2020-08-31,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1960,United Arab Emirates,,2020-09-01,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1961,United Arab Emirates,,2020-09-02,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1962,United Arab Emirates,,2020-09-03,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1963,United Arab Emirates,,2020-09-04,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1964,United Arab Emirates,,2020-09-05,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1965,United Arab Emirates,,2020-09-06,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1966,United Arab Emirates,,2020-09-07,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1967,United Arab Emirates,,2020-09-08,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1968,United Arab Emirates,,2020-09-09,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1969,United Arab Emirates,,2020-09-10,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1970,United Arab Emirates,,2020-09-11,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
1971,United Arab Emirates,,2020-09-12,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0
2230,Argentina,,2020-08-16,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0
2231,Argentina,,2020-08-17,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2232,Argentina,,2020-08-18,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2233,Argentina,,2020-08-19,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2234,Argentina,,2020-08-20,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2235,Argentina,,2020-08-21,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2236,Argentina,,2020-08-22,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2237,Argentina,,2020-08-23,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2238,Argentina,,2020-08-24,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2239,Argentina,,2020-08-25,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2240,Argentina,,2020-08-26,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2241,Argentina,,2020-08-27,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2242,Argentina,,2020-08-28,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2243,Argentina,,2020-08-29,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2244,Argentina,,2020-08-30,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2245,Argentina,,2020-08-31,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2246,Argentina,,2020-09-01,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2247,Argentina,,2020-09-02,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2248,Argentina,,2020-09-03,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2249,Argentina,,2020-09-04,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2250,Argentina,,2020-09-05,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2251,Argentina,,2020-09-06,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2252,Argentina,,2020-09-07,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2253,Argentina,,2020-09-08,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2254,Argentina,,2020-09-09,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2255,Argentina,,2020-09-10,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2256,Argentina,,2020-09-11,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2257,Argentina,,2020-09-12,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
2516,Australia,,2020-08-16,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0
2517,Australia,,2020-08-17,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0
2518,Australia,,2020-08-18,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0
2519,Australia,,2020-08-19,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0
